title,company,location
"Data Scientist, Amazon Ads",Amazon.com Services LLC,"New York, NY"
"Data Scientist, Llama Scalability",Meta,"New York, NY"
Data Scientist - Marketing Mix Models,Verizon,"Hybrid work in New York, NY"
Staff Data Scientist,Warner Bros. Discovery,"New York, NY 10001 (Chelsea area)"
Senior Data Scientist,Metropolitan Transportation Authority,"New York, NY 10004 (Financial District area)"
Senior Data Scientist,CVS Health,"Hybrid work in New York, NY"
Data Scientist/Senior Data Scientist,C3 AI,"New York, NY"
"Senior Data Scientist, Analytics Hub Team",GameChanger,"Remote in New York, NY"
Staff Product Data Scientist,PayPal,"Hybrid work in New York, NY"
Sr Data Analyst,Disney Direct to Consumer,"New York, NY"
Research Data Scientist - Python and AI modeling preferred,NYU Langone Health,"New York, NY 10016 (Tudor City area)"
Senior Data Scientist – Workers' Rights - 636143,CONSUMER AND WORKER PROTECTION,"New York, NY"
"Senior Data Scientist, Commercial Growth Marketing",CVS Health,"Hybrid work in New York, NY"
"SVP Data Analytics, Science & Insights",Warner Bros. Discovery,"New York, NY 10001 (Chelsea area)"
Basketball Data Science & Scheduling Lead,the NBA,"New York, NY 10022 (Midtown area)"
Mid-Level Data Scientist,Millennium Management,"New York, NY"
Senior Data Analyst,NYU Langone,"New York, NY"
Lead Data Scientist - Provider Network Optimization,CVS Health,"Hybrid work in New York, NY"
"Data Scientist, Demand Forecasting",Amazon.com Services LLC,"New York, NY"
"Sr. Analyst, Data Science Analytics",Tapestry,"New York, NY 10017 (Turtle Bay area)"
"Senior Associate, Data Scientist - Marketing Analytics",Capital One,"Hybrid work in New York, NY 10011"
"Asset Management Risk - Data Scientist, Vice President",JPMorgan Chase & Co,"New York, NY 10172 (Gramercy area)"
Machine Learning Engineer (Early Career),Accrete.AI,"New York, NY"
Chief Data Officer,Candid,"New York, NY"
Senior Data Analyst,DEPARTMENT OF CITY PLANNING,"Manhattan, NY"
Data Reporter,Dow Jones,"New York, NY 10176 (Murray Hill area)"
Staff Data Scientist | Product,Ramp Financial,"New York, NY"
"Senior Data Scientist, Research",Google,"New York, NY (Chelsea area)"
"Senior Data Analyst, OGC",New York City Department of Education,"Manhattan, NY"
Staff Data Scientist,Walmart,"Hoboken, NJ 07030"
Data Scientist Senior,Elevance Health,"Hybrid work in New York, NY 10019"
Head of Data Science,Aircall,"New York, NY"
"Data Scientist, NYSE Regulation","Intercontinental Exchange Holdings, Inc.","New York, NY 10005 (Financial District area)"
"Principal Associate, Data Scientist - US Card (Fraud)",Capital One,"Hybrid work in New York, NY 10011"
Data Management Strategy - Sr. Associate,JPMorgan Chase & Co,"New York, NY 10179 (Midtown area)"
"Sr. Data Scientist, Analytics & Insights","Amazon Web Services, Inc.","New York, NY"
Applied NLP Data Scientist - Director,UBS,"New York, NY (Midtown area)"
Lead Data Scientist,current,"New York, NY 10011 (Chelsea area)"
Machine Learning Engineer,Accrete.AI,"New York, NY"
Applied Scientist II,Amazon.com Services LLC,"New York, NY"
Sr. Data Engineer,Kohler,"Hybrid work in New York, NY 10010"
Applied Scientist,"Amazon Development Center U.S., Inc.","Hybrid work in New York, NY"
Applied AI ML - Sr. Associate,JPMorgan Chase & Co,"Jersey City, NJ 07310 (The Waterfront area)"
Research Data Compliance Manager - Scientific Computing & Data,Mount Sinai,"New York, NY 10017 (Murray Hill area)"
Telecommunications Associate (Data) 2,DEPT OF ENVIRONMENT PROTECTION,"Queens, NY"
Trading Book (TB) Risk Data Transformation Lead,Citi,"New York, NY"
"Fundamental AI Research Scientist, NLP - FAIR",Meta,"New York, NY"
"Applied Scientist, Gen AI, CreativeX",Amazon Advertising LLC,"New York, NY"
Quantitative Systematic Trader – Master's: 2025,Susquehanna International Group,"New York, NY"
"Staff Data Scientist, Product",Google,"New York, NY (Chelsea area)"
Senior Decision Scientist - Digital Personalization & Experimentation (Hybrid NYC),CVS Health,"Hybrid work in New York, NY"
Director-Data Science,Amex,"Hybrid work in New York, NY"
"Senior Data Analyst, Finance",Spring Health,"New York, NY"
Principal Data Scientist,Fractal Analytics,"New York, NY"
"Senior Data Analyst, Insights and Marketing Analytics",Criteo,"Hybrid work in New York, NY"
Technology Compliance - Senior Data Analyst,Lord Abbett.com,"Jersey City, NJ 07302 (The Waterfront area)"
"Director, Technical Data Engineering",Hearst Media Services,"New York, NY"
Equity Quantitative Research | Equity Model Research | Quantitative Researcher,Citadel Enterprise Americas,"New York, NY"
Applied AI ML- Vice President,JPMorgan Chase & Co,"New York, NY 10001 (Chelsea area)"
"Lead Developer - Data Science , AI and ML","Intercontinental Exchange Holdings, Inc.","New York, NY 10005 (Financial District area)"
Senior Manager-Enterprise Data Sharing Strategy,Amex,"Hybrid work in New York, NY"
Generative AI Monitoring Analyst,S&P Global,"New York, NY 10041 (Financial District area)"
Manager of AI Development,NYC Health + Hospitals,"Remote in New York, NY"
Principal Data Engineer - Machine Learning,JPMorgan Chase & Co,"Jersey City, NJ 07310 (The Waterfront area)"
"Machine Learning Engineer, Platform",Spotify,"New York, NY"
"Strategic Partner Manager, Data Transparency and Research",Meta,"New York, NY"
Senior Content Designer/UX Writer - Artificial Intelligence,Wells Fargo,"New York, NY"
Senior AI Engineer,CB Insights,"Remote in New York, NY"
HR Data & Analytics - Insights & Product Delivery - Sr. Associate,JPMorgan Chase & Co,"Jersey City, NJ 07310 (The Waterfront area)"
"Senior GenAI Data Scientist, Amazon Bedrock Service GTM - Responsible AI and Security","Amazon Web Services, Inc.","New York, NY"
Machine Learner,Transatlantic Reinsurance Co.,"Hybrid work in New York, NY"
"Manager - Data Science, AI and ML","Intercontinental Exchange Holdings, Inc.","New York, NY 10005 (Financial District area)"
"Senior Software Engineer, Machine Learning, Geo",Google,"New York, NY (Chelsea area)"
Data Science Manager,DEPT OF DESIGN & CONSTRUCTION,"Queens, NY 11101"
Senior Data Scientist,Headway,"Remote in New York, NY"
"Seed Stage, AI Wearable Startup: Backend-Infra Software Engineer",StackedSP Inc,"Hybrid work in New York, NY"
Senior HPC Administrator (High Performance Computational and Data Ecosystem),Mount Sinai,"New York, NY 10017 (Murray Hill area)"
"Customer Engineer, AI/ML, Google Cloud",Google,"New York, NY (Chelsea area)"
Director - Finance Data Science & Analytics,Amex,"Hybrid work in New York, NY"
"Cybersecurity and Data Privacy Associates (NY, DC, SV) - Junior to Mid level",EachHire,"New York, NY"
Product Specialist,Simcorp,"Hybrid work in New York, NY"
"Machine Learning Engineer, Delivery Matching",Uber,"New York, NY"
"(USA) Senior, Data Scientist (Computer Vision Engineer)",Walmart,"Hoboken, NJ 07030"
Manager - Data Science,Amex,"Hybrid work in New York, NY"
"Software Engineer, AI/ML, Learning Platform",Google,"New York, NY (Chelsea area)"
"Applied Scientist II, Next Gen Developer Experience","Amazon Web Services, Inc. - A97","New York, NY"
Lead Data Scientist - Technology,City National Bank,"New York, NY 10022 (Midtown area)"
"Applied Scientist, Automated Reasoning Group","Amazon Development Center U.S., Inc.","Hybrid work in New York, NY"
Staff Machine Learning Engineer - Recommender Systems,Warner Bros. Discovery,"New York, NY 10012 (Little Italy area)"
